Team,Week,Season,HomeFlag,Result,AvgPointsFor,AvgPointsAgainst,AvgOff1stD,AvgOffTotYd,AvgOffPassYd,AvgOffRushYd,AvgOffTO,AvgDef1stD,AvgDefTotYd,AvgDefPassYd,AvgDefRushYd,AvgDefTO,AvgExPointsOff,AvgExPointsDef,AvgExPointsSpecial,LastPointsFor,LastPointsAgainst,LastOff1stD,LastOffTotYd,LastOffPassYd,LastOffRushYd,LastOffTO,LastDef1stD,LastDefTotYd,LastDefPassYd,LastDefRushYd,LastDefTO,LastExPointsOff,LastExPointsDef,LastExPointsSpecial
Arizona Cardinals,2,2002,W,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals,4,2002,W,Y,24,13,19,347,98,249,1,26,426,345,81,1,3.29,6.43,-1.44,24,13,19,347,98,249,1,26,426,345,81,1,3.29,6.43,-1.44
Arizona Cardinals,5,2002,W,N,22,10,18,305,129,175,1,20,344,270,74,2,1.16,13.89,-3.94,21,7,18,263,161,102,1,14,263,196,67,3,-0.97,21.35,-6.43
Arizona Cardinals,7,2002,W,Y,20,11,18,307,160,147,1,17,311,242,68,2,-2.69,14.74,-3.87,16,13,18,312,221,91,1,12,244,186,58,4,-10.4,16.43,-3.75
Arizona Cardinals,8,2002,L,N,17,9,19,325,177,148,1,16,318,230,88,3,-3.54,13.56,-3.14,9,6,22,380,228,152,1,14,342,194,148,4,-6.06,10.01,-0.95
Arizona Cardinals,10,2002,L,Y,19,15,20,344,195,149,1,16,326,234,91,2,-1.13,6.88,-3.05,28,38,23,420,269,151,4,18,357,252,105,0,8.48,-19.84,-2.66
Arizona Cardinals,11,2002,L,N,17,17,19,343,200,142,2,18,339,238,101,2,-1.67,2.78,-2.76,6,27,19,337,226,111,5,27,406,255,151,0,-4.33,-17.71,-1.34
Arizona Cardinals,13,2002,L,N,16,20,19,329,189,140,2,19,357,239,117,2,-1.95,-0.2,-2.18,14,38,15,248,124,124,1,26,462,250,212,2,-3.63,-18.05,1.28
Arizona Cardinals,14,2002,W,Y,14,23,18,303,177,125,2,20,372,242,129,1,-5.83,-3.67,-0.41,0,49,10,122,96,26,4,27,477,261,216,1,-33.04,-27.99,11.99
Arizona Cardinals,16,2002,L,Y,15,23,18,304,178,126,2,19,353,232,121,1,-5.75,-2.67,-0.07,23,20,21,313,180,133,1,15,203,152,51,1,-5.13,5.32,2.68
Arizona Cardinals,17,2002,L,N,15,22,17,292,167,124,2,20,353,234,119,1,-5.74,-2.96,0.55,14,17,14,184,76,108,2,21,358,252,106,2,-5.63,-5.55,6.08
Arizona Cardinals,1,2003,L,N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals,2,2003,L,Y,24,42,21,434,339,95,3,16,261,195,66,0,0.39,-8.26,-7.27,24,42,21,434,339,95,3,16,261,195,66,0,0.39,-8.26,-7.27
Arizona Cardinals,3,2003,W,Y,12,40,19,360,266,94,4,16,292,194,98,0,-14.09,-10.26,-1.07,0,38,18,286,193,93,6,16,323,193,130,0,-28.57,-12.25,5.14
Arizona Cardinals,5,2003,L,N,14,31,20,358,268,89,3,16,298,211,87,0,-6.53,-6.25,-2.42,20,13,21,354,273,81,1,18,311,245,66,2,8.6,1.77,-5.13
Arizona Cardinals,6,2003,L,Y,12,29,17,306,231,75,3,17,315,225,89,0,-8.76,-4.52,-2.11,7,24,9,151,119,32,2,18,365,268,97,1,-15.46,0.67,-1.17
Arizona Cardinals,8,2003,W,Y,13,28,17,309,230,78,3,16,309,194,114,0,-9.67,-3.46,-1.71,18,26,16,320,230,90,3,13,285,72,213,0,-13.31,0.78,-0.12
Arizona Cardinals,9,2003,W,Y,14,26,17,309,207,102,2,16,300,187,113,0,-8.46,-2.56,-0.77,16,13,18,314,93,221,1,15,255,149,106,1,-2.4,1.95,3.91
Arizona Cardinals,10,2003,L,N,14,24,17,309,198,110,2,16,294,191,103,0,-6.99,-1.01,-1.45,17,14,20,304,143,161,1,17,263,215,48,2,1.79,8.28,-5.53
Arizona Cardinals,11,2003,L,N,14,24,17,317,209,108,2,15,288,187,101,0,-7.23,-0.4,-2.93,15,28,19,379,283,96,1,11,246,159,87,1,-8.91,3.87,-13.24
Arizona Cardinals,13,2003,L,N,13,26,16,303,202,101,2,16,310,209,100,0,-8.7,-3.33,-1.91,6,44,10,187,146,41,4,27,481,392,89,0,-20.47,-26.79,6.19
Arizona Cardinals,14,2003,L,N,12,27,16,292,197,95,2,17,321,215,105,0,-10.18,-4,-0.73,3,28,9,197,151,46,3,25,422,268,154,1,-23.47,-9.99,9.9
Arizona Cardinals,15,2003,L,Y,12,29,16,285,192,92,2,18,337,220,117,0,-10.3,-5.89,-0.65,14,50,18,210,151,59,2,30,496,264,232,1,-11.53,-24.84,0.21
Arizona Cardinals,16,2003,L,N,13,28,16,287,188,98,2,18,333,220,112,0,-9.72,-5.59,-0.43,17,20,23,317,146,171,2,17,298,231,67,2,-3.27,-2.27,1.97
Arizona Cardinals,17,2003,W,Y,12,28,16,288,191,97,2,18,334,217,116,1,-9.7,-5.24,-0.78,10,28,17,299,220,79,1,23,340,180,160,4,-9.44,-1.01,-5.06
Arizona Cardinals,2,2004,L,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arizona Cardinals,3,2004,L,N,12,23,14,167,117,50,2,24,379,207,172,3,-14.57,-2.42,1.91,12,23,14,167,117,50,2,24,379,207,172,3,-14.57,-2.42,1.91
Arizona Cardinals,4,2004,W,Y,7,14,13,203,148,55,3,19,331,148,183,3,-17.2,5.72,-0.27,3,6,13,240,179,61,4,15,283,89,194,4,-19.82,13.86,-2.44
Arizona Cardinals,5,2004,L,N,16,13,15,260,152,107,2,17,313,178,135,3,-8.17,11.15,-3.56,34,10,19,373,162,211,1,14,279,238,41,2,9.89,22.01,-10.16
